node,weight,geoX,geoY,name
340104,1897,117.0552769,31.86932759,蜀山区
340111,574,117.3259583,31.74348776,包河区
320106,39,118.7558896,32.08484332,鼓楼区
310110,31,121.5248027,31.30048341,杨浦区
320102,25,118.8375933,32.0677997,玄武区
330106,24,120.0787847,30.20304446,西湖区
330104,20,120.2912588,30.312614,江干区
340207,20,118.2564246,31.3742195,鸠江区
341202,18,115.7136915,32.86303331,颍州区
340403,14,116.9964714,32.5602575,田家庵区
310101,13,121.4790451,31.21793241,黄浦区
320508,12,120.5936609,31.32132168,姑苏区
320104,11,118.8118611,32.01474664,秦淮区
320113,11,118.9514292,32.16366577,栖霞区
340202,11,118.4533321,31.23353725,镜湖区
340303,9,117.3589524,32.87925385,蚌山区
330108,8,120.1799838,30.18239178,滨江区
310104,6,121.4350233,31.16486424,徐汇区
310113,6,121.4039234,31.40512986,宝山区
340181,6,117.7172491,31.64657489,巢湖市
340702,6,117.8004388,30.92306635,铜官山区
341102,4,118.2972627,32.34825756,琅琊区
341126,4,117.5990454,32.78876686,凤阳县
341702,4,117.497767,30.51073403,贵池区
341221,3,115.2366541,32.90420803,临泉县
341503,3,116.3201782,31.75404325,裕安区
330502,3,120.0800216,30.80517774,吴兴区
320312,2,117.2865111,34.27889242,铜山区
340103,2,117.1978305,31.91692743,庐阳区
341521,2,116.7557825,32.25920128,寿县
310107,1,121.3874549,31.25968976,普陀区
310115,1,121.7167868,31.11496137,浦东新区
321002,1,119.5497925,32.34704522,广陵区
330702,1,119.5058328,28.98004742,婺城区
341802,1,118.7898047,30.94228692,宣州区
320583,1,120.9547085,31.32387649,昆山市
